12.0%,"Control Name",Media/Label,Asset(s),Answer,Notes
,"Endpoint Firewalls Enabled","Laptop / sample Backup label",TestingAsset,,
0%,"Environmental Controls",,,,0
,"Environmental Controls","Desktop or Laptop",TestingAsset,,
,"Environmental Controls","Laptop / sample Backup label",TestingAsset,,
0%,"Error Message Sanitization",,,,0
,"Error Message Sanitization","Desktop or Laptop",TestingAsset,,
,"Error Message Sanitization","Laptop / sample Backup label",TestingAsset,,
0%,"Event Correlation",,,,0
,"Event Correlation","Desktop or Laptop",TestingAsset,,
,"Event Correlation","Laptop / sample Backup label",TestingAsset,,
0%,"Fake Data to Attract Misuse (Honeypot Records)",,,,0
,"Fake Data to Attract Misuse (Honeypot Records)","Desktop or Laptop",TestingAsset,,
,"Fake Data to Attract Misuse (Honeypot Records)","Laptop / sample Backup label",TestingAsset,,
0%,"Fire Detection/Suppression Systems",,,,0
,"Fire Detection/Suppression Systems","Desktop or Laptop",TestingAsset,,
,"Fire Detection/Suppression Systems","Laptop / sample Backup label",TestingAsset,,
0%,"Firmware Patching",,,,0
,"Firmware Patching","Desktop or Laptop",TestingAsset,,
,"Firmware Patching","Laptop / sample Backup label",TestingAsset,,
0%,"Identification and Authentication Policy and Procedures",,,,0
,"Identification and Authentication Policy and Procedures","Desktop or Laptop",TestingAsset,,
,"Identification and Authentication Policy and Procedures","Laptop / sample Backup label",TestingAsset,,
0%,"Identified Security Roles",,,,0
,"Identified Security Roles","Desktop or Laptop",TestingAsset,,
,"Identified Security Roles","Laptop / sample Backup label",TestingAsset,,
0%,"Information Access Control Policy and Procedures",,,,0
,"Information Access Control Policy and Procedures","Desktop or Laptop",TestingAsset,,
,"Information Access Control Policy and Procedures","Laptop / sample Backup label",TestingAsset,,
0%,"Information Disclosure Procedures",,,,0
,"Information Disclosure Procedures","Desktop or Laptop",TestingAsset,,
,"Information Disclosure Procedures","Laptop / sample Backup label",TestingAsset,,
0%,"Internal IT Audit Program",,,,0
,"Internal IT Audit Program","Desktop or Laptop",TestingAsset,,
,"Internal IT Audit Program","Laptop / sample Backup label",TestingAsset,,
0%,"Intrusion Detection System",,,,0
,"Intrusion Detection System","Desktop or Laptop",TestingAsset,,
,"Intrusion Detection System","Laptop / sample Backup label",TestingAsset,,
33%,"Inventory Control Process",,,,0
,"Inventory Control Process","Desktop or Laptop",TestingAsset,,
,"Inventory Control Process","Laptop / sample Backup label",TestingAsset,,
,"Inventory Control Process",Pager,"Pager Media",Yes,
0%,"Lights-out/Hands-off Management",,,,0
,"Lights-out/Hands-off Management","Desktop or Laptop",TestingAsset,,
,"Lights-out/Hands-off Management","Laptop / sample Backup label",TestingAsset,,
0%,"Limitations on the Use of Live Data",,,,0
,"Limitations on the Use of Live Data","Desktop or Laptop",TestingAsset,,
,"Limitations on the Use of Live Data","Laptop / sample Backup label",TestingAsset,,
0%,"Limited Access to Network Cabling and Devices",,,,0
,"Limited Access to Network Cabling and Devices","Desktop or Laptop",TestingAsset,,
,"Limited Access to Network Cabling and Devices","Laptop / sample Backup label",TestingAsset,,
0%,"Limited Access to Output Devices (Printers, etc.)",,,,0
,"Limited Access to Output Devices (Printers, etc.)","Desktop or Laptop",TestingAsset,,
,"Limited Access to Output Devices (Printers, etc.)","Laptop / sample Backup label",TestingAsset,,
0%,"Limited User Accessibility (By Time of Day, By Location, etc.)",,,,0
,"Limited User Accessibility (By Time of Day, By Location, etc.)","Desktop or Laptop",TestingAsset,,
,"Limited User Accessibility (By Time of Day, By Location, etc.)","Laptop / sample Backup label",TestingAsset,,
0%,"Locally-stored Backups of Third-party Hosted Data",,,,0
,"Locally-stored Backups of Third-party Hosted Data","Contractors / Consultants",TestingAsset,,
0%,"Locked Down External Ports (USB, CD, DVD, Firewire, etc.)",,,,0
,"Locked Down External Ports (USB, CD, DVD, Firewire, etc.)","Desktop or Laptop",TestingAsset,,
,"Locked Down External Ports (USB, CD, DVD, Firewire, etc.)","Laptop / sample Backup label",TestingAsset,,
0%,"Log Aggregation and Analysis",,,,0
,"Log Aggregation and Analysis","Desktop or Laptop",TestingAsset,,
,"Log Aggregation and Analysis","Laptop / sample Backup label",TestingAsset,,
33%,"Media/Device Re-use and Disposal Policy and Procedures",,,,0
,"Media/Device Re-use and Disposal Policy and Procedures","Desktop or Laptop",TestingAsset,,
,"Media/Device Re-use and Disposal Policy and Procedures","Laptop / sample Backup label",TestingAsset,,
,"Media/Device Re-use and Disposal Policy and Procedures",Pager,"Pager Media",No,
0%,"Multi-factor Authentication",,,,0
,"Multi-factor Authentication","Desktop or Laptop",TestingAsset,,
,"Multi-factor Authentication","Laptop / sample Backup label",TestingAsset,,
0%,"Network and System Penetration and Vulnerability Testing",,,,0
,"Network and System Penetration and Vulnerability Testing","Desktop or Laptop",TestingAsset,,
,"Network and System Penetration and Vulnerability Testing","Laptop / sample Backup label",TestingAsset,,
0%,"Network Disconnect of Idle Connections",,,,0
,"Network Disconnect of Idle Connections","Desktop or Laptop",TestingAsset,,
,"Network Disconnect of Idle Connections","Laptop / sample Backup label",TestingAsset,,
0%,"Network Firewalls",,,,0
,"Network Firewalls","Desktop or Laptop",TestingAsset,,
,"Network Firewalls","Laptop / sample Backup label",TestingAsset,,
0%,"Network Segmentation",,,,0
,"Network Segmentation","Desktop or Laptop",TestingAsset,,
,"Network Segmentation","Laptop / sample Backup label",TestingAsset,,
0%,"Network Traffic Throttling",,,,0
,"Network Traffic Throttling","Desktop or Laptop",TestingAsset,,
,"Network Traffic Throttling","Laptop / sample Backup label",TestingAsset,,
0%,"On-call Technical Resources",,,,0
,"On-call Technical Resources","Desktop or Laptop",TestingAsset,,
,"On-call Technical Resources","Laptop / sample Backup label",TestingAsset,,
0%,"On-site Generator",,,,0
,"On-site Generator","Desktop or Laptop",TestingAsset,,
,"On-site Generator","Laptop / sample Backup label",TestingAsset,,
0%,"Operating System Patching",,,,0
,"Operating System Patching","Desktop or Laptop",TestingAsset,,
,"Operating System Patching","Laptop / sample Backup label",TestingAsset,,
0%,"OS/Application Patching Policy and Procedures",,,,0
,"OS/Application Patching Policy and Procedures","Desktop or Laptop",TestingAsset,,
,"OS/Application Patching Policy and Procedures","Laptop / sample Backup label",TestingAsset,,
0%,"Password Change Required on 1st Login",,,,0
,"Password Change Required on 1st Login","Desktop or Laptop",TestingAsset,,
,"Password Change Required on 1st Login","Laptop / sample Backup label",TestingAsset,,
0%,"Password Strength Requirements",,,,0
,"Password Strength Requirements","Desktop or Laptop",TestingAsset,,
,"Password Strength Requirements","Laptop / sample Backup label",TestingAsset,,
0%,"Password/Token Management Policy and Procedures",,,,0
,"Password/Token Management Policy and Procedures","Desktop or Laptop",TestingAsset,,
,"Password/Token Management Policy and Procedures","Laptop / sample Backup label",TestingAsset,,
0%,"Physical Access Authorization",,,,0
,"Physical Access Authorization","Desktop or Laptop",TestingAsset,,
,"Physical Access Authorization","Laptop / sample Backup label",TestingAsset,,
0%,"Physical Access Control",,,,0
,"Physical Access Control","Desktop or Laptop",TestingAsset,,
,"Physical Access Control","Laptop / sample Backup label",TestingAsset,,
0%,"Physical Access Monitoring",,,,0
,"Physical Access Monitoring","Desktop or Laptop",TestingAsset,,
,"Physical Access Monitoring","Laptop / sample Backup label",TestingAsset,,
0%,"Physical Security Policy and Procedures",,,,0
,"Physical Security Policy and Procedures","Desktop or Laptop",TestingAsset,,
,"Physical Security Policy and Procedures","Laptop / sample Backup label",TestingAsset,,
0%,"Physically Hardened Or Ruggedized Systems",,,,0
,"Physically Hardened Or Ruggedized Systems","Desktop or Laptop",TestingAsset,,
,"Physically Hardened Or Ruggedized Systems","Laptop / sample Backup label",TestingAsset,,
0%,"Physically Secured Demarcation Points",,,,0
,"Physically Secured Demarcation Points","Desktop or Laptop",TestingAsset,,
,"Physically Secured Demarcation Points","Laptop / sample Backup label",TestingAsset,,
33%,"Physically Securing Devices or Systems When Not in Use",,,,0
,"Physically Securing Devices or Systems When Not in Use","Desktop or Laptop",TestingAsset,,
,"Physically Securing Devices or Systems When Not in Use","Laptop / sample Backup label",TestingAsset,,
,"Physically Securing Devices or Systems When Not in Use",Pager,"Pager Media",In_progress,
0%,"Prevention of Simultaneous User Logins",,,,0
,"Prevention of Simultaneous User Logins","Desktop or Laptop",TestingAsset,,
,"Prevention of Simultaneous User Logins","Laptop / sample Backup label",TestingAsset,,
0%,"Prevention of User Storing Data Locally (Terminals, VDI, etc.)",,,,0
,"Prevention of User Storing Data Locally (Terminals, VDI, etc.)","Contractors / Consultants",TestingAsset,,
,"Prevention of User Storing Data Locally (Terminals, VDI, etc.)","Desktop or Laptop",TestingAsset,,
,"Prevention of User Storing Data Locally (Terminals, VDI, etc.)","Laptop / sample Backup label",TestingAsset,,
0%,"Principle of Least Privilege",,,,0
,"Principle of Least Privilege","Desktop or Laptop",TestingAsset,,
,"Principle of Least Privilege","Laptop / sample Backup label",TestingAsset,,
0%,"Privileged Account Management",,,,0
,"Privileged Account Management","Desktop or Laptop",TestingAsset,,
,"Privileged Account Management","Laptop / sample Backup label",TestingAsset,,
0%,"Process Documentation",,,,0
,"Process Documentation","Desktop or Laptop",TestingAsset,,
,"Process Documentation","Laptop / sample Backup label",TestingAsset,,
0%,"Prompt Account Termination",,,,0
,"Prompt Account Termination","Desktop or Laptop",TestingAsset,,
,"Prompt Account Termination","Laptop / sample Backup label",TestingAsset,,
0%,"Record View Logging",,,,0
,"Record View Logging","Desktop or Laptop",TestingAsset,,
,"Record View Logging","Laptop / sample Backup label",TestingAsset,,
0%,"Redundant HVAC Equipment",,,,0
,"Redundant HVAC Equipment","Desktop or Laptop",TestingAsset,,
,"Redundant HVAC Equipment","Laptop / sample Backup label",TestingAsset,,
0%,"Redundant Internet Connections",,,,0
,"Redundant Internet Connections","Desktop or Laptop",TestingAsset,,
,"Redundant Internet Connections","Laptop / sample Backup label",TestingAsset,,
33%,"Redundant or Spare Equipment",,,,0
,"Redundant or Spare Equipment","Desktop or Laptop",TestingAsset,,
,"Redundant or Spare Equipment","Laptop / sample Backup label",TestingAsset,,
,"Redundant or Spare Equipment",Pager,"Pager Media",Yes,
0%,"Redundant Service Providers",,,,0
,"Redundant Service Providers","Contractors / Consultants",TestingAsset,,
0%,"Redundant Telecommunications Providers",,,,0
,"Redundant Telecommunications Providers","Desktop or Laptop",TestingAsset,,
,"Redundant Telecommunications Providers","Laptop / sample Backup label",TestingAsset,,
0%,"Remote Access Controls",,,,0
,"Remote Access Controls","Desktop or Laptop",TestingAsset,,
,"Remote Access Controls","Laptop / sample Backup label",TestingAsset,,
0%,"Remote Administrative Access",,,,0
,"Remote Administrative Access","Desktop or Laptop",TestingAsset,,
,"Remote Administrative Access","Laptop / sample Backup label",TestingAsset,,
50%,"Remote Wipe/Remote Lock",,,,0
,"Remote Wipe/Remote Lock","Laptop / sample Backup label",TestingAsset,,
,"Remote Wipe/Remote Lock",Pager,"Pager Media",No,
0%,"Restrictions on Media Use",,,,0
,"Restrictions on Media Use","Desktop or Laptop",TestingAsset,,
,"Restrictions on Media Use","Laptop / sample Backup label",TestingAsset,,
0%,"Restrictions on the Use of Internet File Storage",,,,0
,"Restrictions on the Use of Internet File Storage","Desktop or Laptop",TestingAsset,,
,"Restrictions on the Use of Internet File Storage","Laptop / sample Backup label",TestingAsset,,
0%,"Review of Service Providers",,,,0
,"Review of Service Providers","Contractors / Consultants",TestingAsset,,
0%,"Role-based Access Control",,,,0
,"Role-based Access Control","Desktop or Laptop",TestingAsset,,
,"Role-based Access Control","Laptop / sample Backup label",TestingAsset,,
0%,"Sanitize Device/Disks/Media",,,,0
,"Sanitize Device/Disks/Media","Desktop or Laptop",TestingAsset,,
,"Sanitize Device/Disks/Media","Laptop / sample Backup label",TestingAsset,,
0%,"Secure Password Storage",,,,0
,"Secure Password Storage","Desktop or Laptop",TestingAsset,,
,"Secure Password Storage","Laptop / sample Backup label",TestingAsset,,
0%,"Secure Software Development Processes",,,,0
,"Secure Software Development Processes","Desktop or Laptop",TestingAsset,,
,"Secure Software Development Processes","Laptop / sample Backup label",TestingAsset,,
0%,"Secure Software Development Training and Awareness",,,,0
,"Secure Software Development Training and Awareness","Desktop or Laptop",TestingAsset,,
,"Secure Software Development Training and Awareness","Laptop / sample Backup label",TestingAsset,,
0%,"Security During Systems Acquisition",,,,0
,"Security During Systems Acquisition","Contractors / Consultants",TestingAsset,,
,"Security During Systems Acquisition","Desktop or Laptop",TestingAsset,,
,"Security During Systems Acquisition","Laptop / sample Backup label",TestingAsset,,
0%,"Security Standards for Software Development",,,,0
,"Security Standards for Software Development","Desktop or Laptop",TestingAsset,,
,"Security Standards for Software Development","Laptop / sample Backup label",TestingAsset,,
0%,"Security/Privacy Awareness and Training",,,,0
,"Security/Privacy Awareness and Training","Desktop or Laptop",TestingAsset,,
,"Security/Privacy Awareness and Training","Laptop / sample Backup label",TestingAsset,,
0%,"Segregation of Duties",,,,0
,"Segregation of Duties","Desktop or Laptop",TestingAsset,,
,"Segregation of Duties","Laptop / sample Backup label",TestingAsset,,
0%,"Service-level Agreements",,,,0
,"Service-level Agreements","Contractors / Consultants",TestingAsset,,
0%,"Single Sign-on",,,,0
,"Single Sign-on","Desktop or Laptop",TestingAsset,,
,"Single Sign-on","Laptop / sample Backup label",TestingAsset,,
0%,"Snooping Detective Software",,,,0
,"Snooping Detective Software","Desktop or Laptop",TestingAsset,,
,"Snooping Detective Software","Laptop / sample Backup label",TestingAsset,,
0%,"Social Engineering Testing",,,,0
,"Social Engineering Testing","Desktop or Laptop",TestingAsset,,
,"Social Engineering Testing","Laptop / sample Backup label",TestingAsset,,
0%,"Split Tunneling Prevention",,,,0
,"Split Tunneling Prevention","Desktop or Laptop",TestingAsset,,
,"Split Tunneling Prevention","Laptop / sample Backup label",TestingAsset,,
0%,"Standardized System Configurations",,,,0
,"Standardized System Configurations","Desktop or Laptop",TestingAsset,,
,"Standardized System Configurations","Laptop / sample Backup label",TestingAsset,,
0%,"Surge Protectors",,,,0
,"Surge Protectors","Desktop or Laptop",TestingAsset,,
,"Surge Protectors","Laptop / sample Backup label",TestingAsset,,
0%,"System and Lifecycle Maintenance",,,,0
,"System and Lifecycle Maintenance","Desktop or Laptop",TestingAsset,,
,"System and Lifecycle Maintenance","Laptop / sample Backup label",TestingAsset,,
0%,"System Configuration Management",,,,0
,"System Configuration Management","Desktop or Laptop",TestingAsset,,
,"System Configuration Management","Laptop / sample Backup label",TestingAsset,,
0%,"System Isolation",,,,0
,"System Isolation","Desktop or Laptop",TestingAsset,,
,"System Isolation","Laptop / sample Backup label",TestingAsset,,
0%,"Tamper-proof Mechanisms",,,,0
,"Tamper-proof Mechanisms","Desktop or Laptop",TestingAsset,,
,"Tamper-proof Mechanisms","Laptop / sample Backup label",TestingAsset,,
0%,"Testing of Password Strengths",,,,0
,"Testing of Password Strengths","Desktop or Laptop",TestingAsset,,
,"Testing of Password Strengths","Laptop / sample Backup label",TestingAsset,,
50%,"Tracking of Device",,,,0
,"Tracking of Device","Laptop / sample Backup label",TestingAsset,,
,"Tracking of Device",Pager,"Pager Media",Yes,
0%,"Training for the Security Workforce",,,,0
,"Training for the Security Workforce","Desktop or Laptop",TestingAsset,,
,"Training for the Security Workforce","Laptop / sample Backup label",TestingAsset,,
0%,"Two-man Rule",,,,0
,"Two-man Rule","Desktop or Laptop",TestingAsset,,
,"Two-man Rule","Laptop / sample Backup label",TestingAsset,,
0%,"Uninterruptible Power Supply (UPS)",,,,0
,"Uninterruptible Power Supply (UPS)","Desktop or Laptop",TestingAsset,,
,"Uninterruptible Power Supply (UPS)","Laptop / sample Backup label",TestingAsset,,
0%,"User Account Management",,,,0
,"User Account Management","Desktop or Laptop",TestingAsset,,
,"User Account Management","Laptop / sample Backup label",TestingAsset,,
0%,"User Activity Review",,,,0
,"User Activity Review","Desktop or Laptop",TestingAsset,,
,"User Activity Review","Laptop / sample Backup label",TestingAsset,,
0%,"User Permissions Reviews",,,,0
,"User Permissions Reviews","Desktop or Laptop",TestingAsset,,
,"User Permissions Reviews","Laptop / sample Backup label",TestingAsset,,
0%,"Visitor Access Control",,,,0
,"Visitor Access Control","Desktop or Laptop",TestingAsset,,
,"Visitor Access Control","Laptop / sample Backup label",TestingAsset,,
0%,"Wireless Access Restrictions",,,,0
,"Wireless Access Restrictions","Desktop or Laptop",TestingAsset,,
,"Wireless Access Restrictions","Laptop / sample Backup label",TestingAsset,,
0%,"Wireless Encryption",,,,0
,"Wireless Encryption","Desktop or Laptop",TestingAsset,,
,"Wireless Encryption","Laptop / sample Backup label",TestingAsset,,
0%,"Wireless Link Protection",,,,0
,"Wireless Link Protection","Desktop or Laptop",TestingAsset,,
,"Wireless Link Protection","Laptop / sample Backup label",TestingAsset,,
0%,"Wireless Security Policy and Procedures",,,,0
,"Wireless Security Policy and Procedures","Desktop or Laptop",TestingAsset,,
,"Wireless Security Policy and Procedures","Laptop / sample Backup label",TestingAsset,,
