"Entity ID","Entity Name","Entity Hierarchy","Parent Entity ID","Parent Entity","Entity Tags","Industry Type","Industry Specialty",State,Control,Description,Assets,"Plan for Monitoring Effectiveness",Media/Label,"Implementation Manager",Priority,"Due Date","Completion Date","Plan Status","Global Notes","Media Notes","Risk Notes"
15891,BookParent,yes,,,,Chemicals,,Colorado,"Inventory Control Process",dec,Asset,eded,"Backup Media","Uma M",Urgent,07/17/2018,07/17/2018,Implemented,,,
15896,BookGrantChild,yes,15895,BookChild,,Healthcare,"Clinical Research",Arizona,"Domain/Device Authentication",qw,Asset,qweqwe,Pager,"Uma M",High,07/10/2018,12/31/1969,Implemented,,,
15897,BookGreatGrantChild,yes,15896,BookGrantChild,,Healthcare,"Clinical Research",Arizona,"Domain/Device Authentication",qw,Asset,qweqwe,Pager,"Uma M",High,07/10/2018,12/31/1969,Implemented,,,
15891,BookParent,yes,,,,Chemicals,,Colorado,"Secure Storage of Backup Media When Not in Use",fffferr,Asset,edeede,"Backup Media","Uma M",Medium,07/18/2018,07/18/2018,Implemented,,,
15891,BookParent,yes,,,,Chemicals,,Colorado,"Visitor Access Control",ede,Asset,rfgfedg,"Backup Media","Uma M",Low,07/12/2018,07/19/2018,Implemented,,,
15891,BookParent,yes,,,,Chemicals,,Colorado,"Remote Wipe/Remote Lock",qew,Asset,qwe,Pager,"Sathya new",Low,07/13/2018,07/19/2018,Implemented,,,
15895,BookChild,yes,15891,BookParent,,Healthcare,"Clinical Research",Arizona,"Inventory Control Process",dec,Asset,eded,"Backup Media","Uma M",Urgent,07/17/2018,07/17/2018,Implemented,,,
15895,BookChild,yes,15891,BookParent,,Healthcare,"Clinical Research",Arizona,"Secure Storage of Backup Media When Not in Use",fffferr,Asset,edeede,"Backup Media","Uma M",Medium,07/18/2018,07/18/2018,Implemented,,,
15895,BookChild,yes,15891,BookParent,,Healthcare,"Clinical Research",Arizona,"Visitor Access Control",ede,Asset,rfgfedg,"Backup Media","Uma M",Low,07/12/2018,07/19/2018,Implemented,,,
15895,BookChild,yes,15891,BookParent,,Healthcare,"Clinical Research",Arizona,"Remote Wipe/Remote Lock",qew,Asset,qwe,Pager,"Sathya new",Low,07/13/2018,07/19/2018,Implemented,,,
15896,BookGrantChild,yes,15895,BookChild,,Healthcare,"Clinical Research",Arizona,"Inventory Control Process",dec,Asset,eded,"Backup Media","Uma M",Urgent,07/17/2018,07/17/2018,Implemented,,,
15896,BookGrantChild,yes,15895,BookChild,,Healthcare,"Clinical Research",Arizona,"Secure Storage of Backup Media When Not in Use",fffferr,Asset,edeede,"Backup Media","Uma M",Medium,07/18/2018,07/18/2018,Implemented,,,
15896,BookGrantChild,yes,15895,BookChild,,Healthcare,"Clinical Research",Arizona,"Visitor Access Control",ede,Asset,rfgfedg,"Backup Media","Uma M",Low,07/12/2018,07/19/2018,Implemented,,,
15896,BookGrantChild,yes,15895,BookChild,,Healthcare,"Clinical Research",Arizona,"Remote Wipe/Remote Lock",qew,Asset,qwe,Pager,"Sathya new",Low,07/13/2018,07/19/2018,Implemented,,,
15897,BookGreatGrantChild,yes,15896,BookGrantChild,,Healthcare,"Clinical Research",Arizona,"Inventory Control Process",dec,Asset,eded,"Backup Media","Uma M",Urgent,07/17/2018,07/17/2018,Implemented,,,
15897,BookGreatGrantChild,yes,15896,BookGrantChild,,Healthcare,"Clinical Research",Arizona,"Secure Storage of Backup Media When Not in Use",fffferr,Asset,edeede,"Backup Media","Uma M",Medium,07/18/2018,07/18/2018,Implemented,,,
15897,BookGreatGrantChild,yes,15896,BookGrantChild,,Healthcare,"Clinical Research",Arizona,"Visitor Access Control",ede,Asset,rfgfedg,"Backup Media","Uma M",Low,07/12/2018,07/19/2018,Implemented,,,
15897,BookGreatGrantChild,yes,15896,BookGrantChild,,Healthcare,"Clinical Research",Arizona,"Remote Wipe/Remote Lock",qew,Asset,qwe,Pager,"Sathya new",Low,07/13/2018,07/19/2018,Implemented,,,
15911,SampleTest,yes,,,,Education,,Arkansas,"Media/Device Reuse and Disposal Policy and Procedures",desc,TestingAsset,plans,"Backup Media / sample Backup label","Uma M",High,01/02/2018,01/02/2018,Implemented,,,
