"Media And Storage Devices",Label,"Asset Name(s)","Threat Source","Threat Event",Vulnerability,Control,"NIST Family","NIST Family ID","Created Date","Updated Date",Global,Media
"Desktop or Laptop",,TestingAsset,"System Cracker","Social Engineering","Untrained/Untested Staff","Application Penetration and Vulnerability Testing",,,"06/29/2018 02:25","06/29/2018 02:25",Yes,Yes
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Code Review",,,"06/29/2018 02:25","06/29/2018 02:25","In progress","In progress"
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Authentication of Network Sessions (as Distinct From Users)",,,"06/29/2018 02:25","06/29/2018 02:25","In progress","In progress"
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Auto Logoff or Auto Screen Locking",,,"06/29/2018 02:25","06/29/2018 02:25",No,No
"Disk Array",,TestingAsset,Burglar/Thief,"Theft of Equipment","Physical Security Deficiencies","Physical Access Authorization",,,"06/29/2018 00:26","06/29/2018 00:27",Yes,Yes
"Disk Array",,TestingAsset,"Careless Software Developer","Insecure Development of Software","Custom Application Weaknesses","Application or Data Partitioning",,,"06/29/2018 02:25","06/29/2018 02:25",No,No
"Disk Array",,TestingAsset,"Careless User","Information Leakage","Endpoint Leakage","Acceptable Use Policy",,,"06/29/2018 02:24","06/29/2018 02:24",Yes,Yes
"Disk Array",,TestingAsset,"Careless User","Installation of Malicious Software","Untrained/Untested Staff","Anti-Malware Software",,,"06/29/2018 02:25","06/29/2018 02:25",No,No
"Disk Array",,TestingAsset,"Malicious User","Insecure User Management","Dormant Accounts","Access Logging",,,"06/29/2018 02:25","06/29/2018 02:25",Yes,Yes
"Disk Array",,TestingAsset,"Malicious User","Malicious Use of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"06/29/2018 02:25","06/29/2018 02:25",TBD,"In progress"
"Disk Array",,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-virus Policy and Procedures",,,"06/29/2018 02:25","06/29/2018 02:25",N/A,N/A
"Disk Array",,TestingAsset,"System Cracker","Social Engineering","Untrained/Untested Staff","Application Penetration and Vulnerability Testing",,,"06/29/2018 02:25","06/29/2018 02:25",Yes,Yes
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Code Review",,,"06/29/2018 02:25","06/29/2018 02:25","In progress","In progress"
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Authentication of Network Sessions (as Distinct From Users)",,,"06/29/2018 02:25","06/29/2018 02:25","In progress","In progress"
"Disk Array",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Auto Logoff or Auto Screen Locking",,,"06/29/2018 02:25","06/29/2018 02:25",No,No
Laptop,,TestingAsset,"Careless Software Developer","Insecure Development of Software","Custom Application Weaknesses","Application or Data Partitioning",,,"06/29/2018 02:25","06/29/2018 02:25",No,No
Laptop,,TestingAsset,"Careless User","Information Leakage","Endpoint Leakage","Acceptable Use Policy",,,"06/29/2018 02:24","06/29/2018 02:24",Yes,Yes
Laptop,,TestingAsset,"Careless User","Installation of Malicious Software","Untrained/Untested Staff","Anti-Malware Software",,,"06/29/2018 02:25","06/29/2018 02:25",No,No
Laptop,,TestingAsset,"Malicious User","Insecure User Management","Dormant Accounts","Access Logging",,,"06/29/2018 02:25","06/29/2018 02:25",Yes,Yes
Laptop,,TestingAsset,"Malicious User","Malicious Use of Sensitive Data","User Authentication Deficiencies","Accounts Lock After Too Many Failed Logins",,,"06/29/2018 02:25","06/29/2018 02:25",TBD,"In progress"
Laptop,,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-virus Policy and Procedures",,,"06/29/2018 02:25","06/29/2018 02:25",N/A,N/A
Laptop,,TestingAsset,"System Cracker","Social Engineering","Untrained/Untested Staff","Application Penetration and Vulnerability Testing",,,"06/29/2018 02:25","06/29/2018 02:25",Yes,Yes
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Code Review",,,"06/29/2018 02:25","06/29/2018 02:25","In progress","In progress"
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Authentication of Network Sessions (as Distinct From Users)",,,"06/29/2018 02:25","06/29/2018 02:25","In progress","In progress"
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Auto Logoff or Auto Screen Locking",,,"06/29/2018 02:25","06/29/2018 02:25",No,No
Laptop,,TestingAsset,"System Cracker","Theft of Sensitive Data","Physical Security Deficiencies","Physical Access Authorization",,,"06/29/2018 00:26","06/29/2018 00:27",Yes,Yes
