"Media And Storage Devices",Label,"Asset Name(s)","Threat Source","Threat Event",Vulnerability,Control,"NIST Family","NIST Family ID","Created Date","Updated Date",Global,Media
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Auto Logoff or Auto Screen Locking",,,"07/31/2018 23:16","07/31/2018 23:16",No,No
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","Insecure Network Configuration","Authentication of Network Sessions (as Distinct From Users)",,,"07/31/2018 23:16","07/31/2018 23:16","In progress","In progress"
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Penetration and Vulnerability Testing",,,"07/31/2018 23:16","07/31/2018 23:16",Yes,Yes
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","Custom Application Weaknesses","Application Code Review",,,"07/31/2018 23:16","07/31/2018 23:16","In progress","In progress"
"Desktop or Laptop",,TestingAsset,"System Cracker","Theft of Sensitive Data","Anti-malware Deficiencies","Anti-Malware Software",,,"07/31/2018 23:16","07/31/2018 23:16",No,No
"Desktop or Laptop",,TestingAsset,"System Cracker","Insecure User Management","Dormant Accounts","Access Logging",,,"07/31/2018 23:15","07/31/2018 23:15",Yes,Yes
"Desktop or Laptop",,TestingAsset,"Power Outage/Interruption","Loss of Electrical Power","Insufficient Power Capacity","DR/BC Plans",,,"07/31/2018 23:17","07/31/2018 23:17","In progress","In progress"
"Desktop or Laptop",,TestingAsset,Malware,"Theft of Sensitive Data","Anti-malware Deficiencies","Anti-virus Policy and Procedures",,,"07/31/2018 23:16","07/31/2018 23:16",N/A,N/A
"Desktop or Laptop",,TestingAsset,"Malicious User","Malicious Use of Sensitive Data","Endpoint Leakage","Acceptable Use Policy",,,"07/31/2018 23:15","07/31/2018 23:15",Yes,Yes
"Desktop or Laptop",,TestingAsset,"Careless Software Developer","Insecure Development of Software","Custom Application Weaknesses","Application or Data Partitioning",,,"07/31/2018 23:16","07/31/2018 23:16",No,No
"Desktop or Laptop",,TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"07/31/2018 23:17","07/31/2018 23:17",Yes,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless User","Physical Damage to Equipment",Accidents,"Backup Media Handling Policy and Procedures",,,"07/31/2018 23:06","07/31/2018 23:06",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Loss of Storage Media","Improper Media/Device Handling","Tracking of Backup Media",,,"07/31/2018 23:05","07/31/2018 23:05",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Loss of Storage Media","Improper Media/Device Handling","Encryption of Backup Media",,,"07/31/2018 23:01","07/31/2018 23:05",TBD,No
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Loss of Storage Media","Improper Media/Device Handling","Acceptable Use Policy",,,"07/31/2018 23:05","07/31/2018 23:15",Yes,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Media/Device Reuse and Disposal Policy and Procedures",,,"07/31/2018 23:04","07/31/2018 23:04",TBD,"In progress"
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"07/31/2018 23:04","07/31/2018 23:17",Yes,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Corruption or Destruction of Important Data","Lack of Data Validation","Tamper-proof Mechanisms",,,"07/31/2018 23:03","07/31/2018 23:03",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Improper Media/Device Handling","Secure Storage of Backup Media When Not in Use",,,"07/31/2018 23:01","07/31/2018 23:01",TBD,No
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Improper Media/Device Handling","Offsite Backup Media Storage",,,"07/31/2018 23:01","07/31/2018 23:01",TBD,"In progress"
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Equipment","Physical Security Deficiencies",TestControls,,,"07/31/2018 22:58","07/31/2018 22:58",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Equipment","Physical Security Deficiencies","Physical Access Authorization",,,"07/31/2018 22:58","07/31/2018 22:59",Yes,Yes
