"Media And Storage Devices",Label,"Asset Name(s)","Threat Source","Threat Event",Vulnerability,Control,"NIST Family","NIST Family ID","Created Date","Updated Date",Global,Media
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Loss of Storage Media","Improper Media/Device Handling","Tracking of Backup Media",,,"07/11/2018 04:08","07/11/2018 04:08",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Loss of Storage Media","Improper Media/Device Handling","Encryption of Backup Media",,,"07/11/2018 04:05","07/11/2018 04:08",TBD,No
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Loss of Storage Media","Improper Media/Device Handling","Acceptable Use Policy",,,"07/11/2018 04:08","07/11/2018 05:25",Yes,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Media/Device Reuse and Disposal Policy and Procedures",,,"07/11/2018 04:08","07/11/2018 04:08",TBD,"In progress"
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"07/11/2018 04:08","07/11/2018 04:08",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,"Careless IT Personnel","Corruption or Destruction of Important Data","Lack of Data Validation","Tamper-proof Mechanisms",,,"07/11/2018 04:07","07/11/2018 04:07",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Visitor Access Control",,,"07/11/2018 04:06","07/11/2018 04:06",TBD,"In progress"
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Secure Storage of Backup Media When Not in Use",,,"07/11/2018 04:05","07/11/2018 04:05",TBD,No
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Physical Access Monitoring",,,"07/11/2018 04:06","07/11/2018 04:06",TBD,Yes
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Physical Access Control",,,"07/11/2018 04:06","07/11/2018 04:06",TBD,No
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Physical Access Authorization",,,"07/11/2018 04:03","07/11/2018 04:03",Yes,Yes
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Inventory Control Process",,,"07/11/2018 04:06","07/11/2018 04:06",TBD,"In progress"
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Storage Media","Improper Media/Device Handling","Offsite Backup Media Storage",,,"07/11/2018 04:05","07/11/2018 04:05",TBD,"In progress"
"Backup Media","sample Backup label",TestingAsset,Burglar/Thief,"Theft of Equipment","Physical Security Deficiencies",TestControls,,,"07/11/2018 04:03","07/11/2018 04:03",TBD,Yes
