"Media And Storage Devices",Label,"Asset Name(s)","Threat Source","Threat Event",Vulnerability,Control,"NIST Family","NIST Family ID","Created Date","Updated Date",Global,Media
"Backup Media",,TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Media/Device Reuse and Disposal Policy and Procedures",,,"06/22/2018 07:05","06/22/2018 07:05",TBD,"In progress"
"Backup Media",,TestingAsset,"Careless IT Personnel","Improper Destruction, Disposal or Reuse of Storage Media","Destruction/Disposal Deficiencies","Device Re-use and Disposal Policy and Procedures",,,"06/22/2018 07:05","06/22/2018 07:05",TBD,Yes
"Backup Media",,TestingAsset,"Careless IT Personnel","Corruption or Destruction of Important Data","Lack of Data Validation","Tamper-proof Mechanisms",,,"06/22/2018 07:03","06/22/2018 07:03",TBD,Yes
"Backup Media",,TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Visitor Access Control",,,"06/22/2018 07:02","06/22/2018 07:02",TBD,"In progress"
"Backup Media",,TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Secure Storage of Backup Media When Not in Use",,,"06/22/2018 07:01","06/22/2018 07:01",TBD,No
"Backup Media",,TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Physical Access Monitoring",,,"06/22/2018 07:02","06/22/2018 07:02",TBD,Yes
"Backup Media",,TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Physical Access Control",,,"06/22/2018 07:02","06/22/2018 07:02",TBD,No
"Backup Media",,TestingAsset,Burglar/Thief,"Theft of Storage Media","Physical Security Deficiencies","Inventory Control Process",,,"06/22/2018 07:02","06/22/2018 07:02",TBD,"In progress"
"Backup Media",,TestingAsset,Burglar/Thief,"Theft of Storage Media","Improper Media/Device Handling","Offsite Backup Media Storage",,,"06/22/2018 07:01","06/22/2018 07:01",TBD,"In progress"
"Backup Media",,TestingAsset,Burglar/Thief,"Theft of Equipment","Physical Security Deficiencies",TestControls,,,"06/22/2018 06:57","06/22/2018 06:57",TBD,Yes
